Ball,Number
second,36
second,51
second,40
second,23
second,22
second,7
second,38
second,22
second,17
second,17
second,20
second,29
second,31
second,32
second,29
second,30
second,27
second,6
second,23
second,25
second,2
second,30
second,46
second,25
second,15
second,31
second,16
second,43
second,20
second,16
second,32
second,26
second,15
second,40
second,21
second,7
second,25
second,30
second,20
second,6
second,13
second,16
second,29
second,38
second,6
second,12
second,13
second,14
second,21
second,17
second,21
second,18
second,24
second,15
second,14
second,29
second,11
second,15
second,15
second,29
second,16
second,15
second,17
second,10
second,25
second,30
second,10
second,36
second,17
second,32
second,21
second,37
second,23
second,43
second,22
second,28
second,28
second,9
second,15
second,32
second,10
second,18
second,7
second,28
second,32
second,42
second,7
second,16
second,21
second,33
second,30
second,39
second,18
second,36
second,21
second,27
second,39
second,5
second,30
second,7
second,40
second,15
second,41
second,15
second,33
second,28
second,39
second,28
second,41
second,16
second,10
second,39
second,20
second,27
second,28
second,19
second,44
second,10
second,12
second,13
second,40
second,10
second,16
second,36
second,22
second,26
second,23
second,18
second,34
second,20
second,41
second,37
second,25
second,17
second,21
second,21
second,15
second,45
second,44
second,24
second,24
second,28
second,9
second,27
second,24
second,18
second,36
second,8
second,27
second,7
second,16
second,42
second,14
second,10
second,25
second,15
second,33
second,9
second,20
second,10
second,21
second,16
second,30
second,43
second,6
second,30
second,37
second,30
second,8
second,25
second,23
second,36
second,31
second,19
second,11
second,45
second,14
second,20
second,35
second,34
second,28
second,6
second,2
second,30
second,30
third,27
third,36
third,36
third,30
third,23
third,52
third,31
third,13
third,27
third,37
third,40
third,33
third,37
third,17
third,18
third,17
third,57
third,58
third,18
third,40
third,6
third,31
third,56
third,37
third,34
third,38
third,27
third,45
third,11
third,22
third,38
third,23
third,39
third,60
third,17
third,35
third,7
third,40
third,48
third,58
third,33
third,21
third,22
third,43
third,31
third,44
third,50
third,37
third,51
third,42
third,22
third,17
third,38
third,44
third,17
third,39
third,23
third,33
third,26
third,32
third,48
third,49
third,23
third,31
third,20
third,55
third,22
third,11
third,22
third,19
third,36
third,47
third,34
third,18
third,14
third,17
third,36
third,35
third,36
third,36
third,32
third,61
third,61
third,34
third,27
third,52
third,49
third,27
third,41
third,63
third,32
third,41
third,38
third,26
third,41
third,59
third,18
third,40
third,26
third,54
third,42
third,35
third,33
third,49
third,21
third,35
third,46
third,33
third,30
third,39
third,39
third,45
third,48
third,27
third,40
third,44
third,26
third,49
third,21
third,58
third,46
third,29
third,39
third,15
third,35
third,54
third,50
third,35
third,54
third,15
third,17
third,44
third,38
third,53
third,23
third,7
third,21
third,57
third,39
third,16
third,35
third,26
third,12
third,42
third,53
third,44
third,42
third,37
third,38
third,39
third,26
third,27
third,35
third,46
third,32
third,52
third,48
third,50
third,29
third,25
third,34
third,33
third,36
third,10
third,34
third,44
third,22
third,39
third,31
third,24
third,41
third,30
third,50
third,37
third,20
third,22
third,24
third,30
third,44
third,47
third,45
third,47
third,31
third,35
third,36
third,47
third,32
third,26
third,23
third,45
third,24
third,16
third,11
third,21
third,14
third,38
third,42
third,28
third,34
third,34
third,39
third,20
third,25
third,33
third,9
third,53
third,23
third,28
third,41
third,35
third,30
third,17
third,26
third,23
third,43
third,25
third,54
third,37
third,52
third,50
third,39
third,45
third,45
third,21
third,25
third,42
third,14
third,50
third,41
third,14
third,3
third,28
third,18
third,16
third,20
third,47
third,41
third,31
third,48
third,37
third,15
third,42
third,51
third,38
third,30
third,31
third,43
third,21
third,34
third,36
third,47
third,59
third,51
third,23
third,20
third,49
third,34
third,34
third,24
third,39
third,13
third,45
third,57
third,64
third,32
third,27
third,27
third,59
third,34
third,7
third,63
third,48
third,19
third,48
third,20
third,50
third,55
third,53
third,54
third,45
third,52
third,28
third,56
third,30
third,38
third,32
third,46
third,41
third,56
third,27
third,42
third,27
third,43
third,15
third,20
third,37
third,43
third,23
third,57
third,38
third,15
third,41
third,37
third,26
third,31
third,56
third,9
third,21
third,45
third,38
third,36
third,31
third,28
third,39
third,54
third,12
third,26
third,27
third,20
third,42
third,52
third,26
third,45
third,18
third,59
third,24
third,54
third,19
third,25
third,59
third,38
third,31
third,39
third,44
third,27
third,35
third,27
third,14
third,26
third,11
third,47
third,37
third,35
third,33
third,30
third,37
third,41
third,16
third,13
third,61
third,37
third,28
third,37
third,50
third,32
third,28
third,27
third,46
third,31
third,44
third,16
third,20
third,26
third,19
third,38
third,29
third,42
